participant_id,openness,conscientiousness,extraversion,agreeableness,neuroticism,risk_tolerance,tech_aptitude,security_awareness
P1,72,85,65,70,45,55,80,90
P2,80,65,75,68,50,65,85,60
P3,65,90,60,75,35,40,75,95
P4,60,80,55,65,40,45,70,85
P5,75,85,70,75,45,50,85,90
P6,55,75,65,70,50,60,65,75
P7,85,70,80,75,55,70,80,65
P8,50,85,60,65,40,45,70,80
P9,75,80,70,75,45,55,85,90
P10,60,85,55,70,35,40,75,85
P11,80,65,75,70,50,65,80,60
P12,70,80,60,75,40,50,85,90
P13,75,60,80,70,60,75,70,55
P14,65,85,55,70,35,45,75,90
P15,70,80,65,75,45,50,80,85
P16,60,75,60,65,40,55,75,80
P17,75,70,70,75,50,60,80,75
P18,65,85,55,70,35,40,75,95
P19,80,65,75,70,55,70,85,60
P20,60,70,65,65,45,60,70,70
